col,coverage,n_obs,n_grid,q01,q50,q99,iqr5_hi,frac_above_fence
20,0.7776216246847817,137223,176465,3.0692459188,5.5086285,7.857148317799999,9.15325657,0.0008453393381575975
16,0.7774062845323435,137185,176465,49.750267,51.55000115,56.0,67.7999954,0.0
18,0.7770662737653359,137125,176465,1.2848486864,1.67213541,2.1373595948000004,2.95006727,0.0
15,0.7724817952568498,136316,176465,49.7,51.55000115,56.0,67.7999954,0.0
19,0.7724817952568498,136316,176465,3.060015,5.507013365,7.87193871,9.26617115625,0.0007042460166084686
17,0.7724534610262659,136311,176465,1.28500009,1.6749999999999998,2.1475,2.9899996699999996,7.336165093059254e-06
75,0.3529481766922619,62283,176465,377.0,392.0,406.0,437.0,0.0
76,0.3489473833338056,61577,176465,377.0,397.0,411.0,458.0,0.0
77,0.341353809537302,60237,176465,375.0,396.0,408.0,444.0,0.0
71,0.30154421556682626,53212,176465,55.0,62.5,75.27799999999988,103.7000276,5.637826054273472e-05
70,0.2928116057008472,51671,176465,66.4,81.0,87.9,167.0,0.0
21,0.2390275692063582,42180,176465,30.0,73.1,85.5,267.59999999999997,2.370791844476055e-05
37,0.16773297821097669,29599,176465,51.0,63.0,71.0,84.0,0.0
6,0.09174057178477318,16189,176465,20.0,23.0,25.0,34.0,0.0
5,0.08029354262884991,14169,176465,20.0,23.0,25.0,34.0,0.0
7,0.07666676111410195,13529,176465,20.0,22.0,25.0,30.5,7.391529307413703e-05
12,0.05724081262573315,10101,176465,49.7,49.8,56.0,50.29999999999997,0.09692109692109692
25,0.015362819822627716,2711,176465,0.0,0.0,115.0,450.0,0.009221689413500553
32,0.015249482900291843,2691,176465,0.0,98.5,1476.0,1182.0,0.018208844295800816
33,0.011804040461281274,2083,176465,0.0,64.0,81.0,224.0,0.0
30,0.011679369846711812,2061,176465,0.0,0.0,50.0,240.0,0.002911208151382824
31,0.01090867877482787,1925,176465,0.0,0.0,3100.0,3700.0,0.0
28,0.01090867877482787,1925,176465,0.0,0.0,835.52,873.0,0.0
29,0.009650638936899669,1703,176465,0.0,0.0,1.0,1.0,0.0
26,0.00864194032811039,1525,176465,0.0,0.0,20.0,20.0,0.0
24,0.008233927407701245,1453,176465,0.0,0.0,0.0,200.0,0.0
36,0.008205593177117275,1448,176465,0.0,0.0,0.0,0.0,0.0
27,0.008205593177117275,1448,176465,0.0,0.0,0.0,0.0,0.0
61,0.0010200323010228656,180,176465,2837.2200000000003,7871.0,9988.68,23498.75,0.0
2,0.0,0,0,,,,,0.0
1,0.0,0,0,,,,,0.0
8,0.0,0,0,,,,,0.0
9,0.0,0,0,,,,,0.0
10,0.0,0,0,,,,,0.0
13,0.0,0,0,,,,,0.0
11,0.0,0,0,,,,,0.0
14,0.0,0,0,,,,,0.0
4,0.0,0,0,,,,,0.0
3,0.0,0,0,,,,,0.0
23,0.0,0,0,,,,,0.0
34,0.0,0,0,,,,,0.0
42,0.0,0,0,,,,,0.0
43,0.0,0,0,,,,,0.0
44,0.0,0,0,,,,,0.0
35,0.0,0,0,,,,,0.0
38,0.0,0,0,,,,,0.0
39,0.0,0,0,,,,,0.0
40,0.0,0,0,,,,,0.0
41,0.0,0,0,,,,,0.0
22,0.0,0,0,,,,,0.0
50,0.0,0,0,,,,,0.0
49,0.0,0,0,,,,,0.0
48,0.0,0,0,,,,,0.0
47,0.0,0,0,,,,,0.0
46,0.0,0,0,,,,,0.0
45,0.0,0,0,,,,,0.0
53,0.0,0,0,,,,,0.0
51,0.0,0,0,,,,,0.0
58,0.0,0,0,,,,,0.0
59,0.0,0,0,,,,,0.0
60,0.0,0,0,,,,,0.0
52,0.0,0,0,,,,,0.0
55,0.0,0,0,,,,,0.0
56,0.0,0,0,,,,,0.0
57,0.0,0,0,,,,,0.0
54,0.0,0,0,,,,,0.0
66,0.0,0,0,,,,,0.0
65,0.0,0,0,,,,,0.0
64,0.0,0,0,,,,,0.0
63,0.0,0,0,,,,,0.0
62,0.0,0,0,,,,,0.0
69,0.0,0,0,,,,,0.0
68,0.0,0,0,,,,,0.0
67,0.0,0,0,,,,,0.0
74,0.0,0,0,,,,,0.0
73,0.0,0,0,,,,,0.0
72,0.0,0,0,,,,,0.0
78,0.0,0,0,,,,,0.0
79,0.0,0,0,,,,,0.0
80,0.0,0,0,,,,,0.0
81,0.0,0,0,,,,,0.0
82,0.0,0,0,,,,,0.0
