col,horizon_min,n_rows,test_mae_ridge,test_mae_last_value
15,2,149120,0.1327499232690922,0.16902064731461602
15,3,149118,0.13262619208608928,0.17022885033231988
15,10,149104,0.13337178383199327,0.17100750760231295
15,30,149064,0.1345153409938852,0.17192325170542627
15,90,148944,0.14221909809770553,0.17197597000566936
16,2,149598,0.14696806594678238,0.17609141609699924
16,3,149596,0.14695246403858844,0.17683667937685665
16,10,149582,0.14799975916571168,0.17840257692679065
16,30,149542,0.14696741548931103,0.1789050997536999
16,90,149457,0.14815223931280028,0.17951287424171442
17,2,149159,0.16535725643439603,0.2283059595769277
17,3,149157,0.16545979870066696,0.2302502676731703
17,10,149143,0.16654559664640947,0.23154047554834226
17,30,149103,0.1699525700329848,0.2347732066526132
17,90,148983,0.17965462554668407,0.23913698788480023
18,2,149578,0.1662791992316072,0.2303353394557383
18,3,149576,0.16632807667911892,0.2323141221196506
18,10,149562,0.1670496945048601,0.23266604062683013
18,30,149522,0.1697999308059019,0.2344510622421374
18,90,149427,0.17752737560804757,0.2374117983192416
19,2,149159,0.9976264500895294,1.416484659347144
19,3,149157,0.9972475278814268,1.430150054184783
19,10,149143,0.9966428573908587,1.431331276038672
19,30,149103,0.9948153700222614,1.4391355279477929
19,90,148983,0.9918866445659328,1.4505308143397844
20,2,149770,0.9846086038496915,1.4257239850405086
20,3,149768,0.9842792640980518,1.440500665422477
20,10,149760,0.983557615336718,1.4397804472819429
20,30,149740,0.9821683693797364,1.4444507802623212
20,90,149680,0.977136576469763,1.4505314569101622
75,2,140646,2.154834482867233,2.0605904921727007
75,3,140557,2.228370904965552,2.378204377956713
75,10,140104,2.3779285118692983,2.7593437049859437
75,30,139462,2.522493804993583,3.0504231733418923
75,90,139172,2.640060746221997,3.225779506366701
76,2,140032,3.6306121115142984,3.3139200253790504
76,3,139940,3.7828819583122466,3.857475705962668
76,10,139435,4.0153932680281805,4.674347729376747
76,30,138673,4.244674157316962,4.9807892390131725
76,90,138488,4.330999257968375,5.401463758313108
77,2,140371,3.1461729423269076,2.8168964431608567
77,3,140285,3.295924923176592,3.293474044128382
77,10,139770,3.5287237414364214,4.026155871107199
77,30,139149,3.7445188799622264,4.420075814792151
77,90,138953,3.896676223750875,4.749148003793087
71,2,126481,2.844271437161449,1.9109878938024285
71,3,126232,3.1255727521317316,2.3426925603581266
71,10,125066,3.9606608988060965,3.633874109371368
71,30,124152,4.424744365763385,4.7966085377999175
71,90,123596,4.567876295529662,5.234906838532868
