col,n_rows,winsor_lo,winsor_hi,winner_label,train_mae_ridge,train_mae_hgb,train_mae_rf,train_mae_blend,train_mae_nnet,train_mae_winner,val_mae_naive_lag1,val_mae_ridge,val_mae_hgb,val_mae_rf,val_mae_blend,val_mae_nnet,val_mae_winner,sv_winner,wf_disagrees_sv,blend_a,blend_b,blend_w_on_a,test_mae_ridge,test_mae_hgb,test_mae_rf,test_mae_blend,test_mae_nnet,test_mae_winner,test_mae_at_sv_winner,test_mae_at_wf_winner,winner,nnet_hparams,wf_used,wf_n_folds,wf_mean_val_mae_ridge,wf_mean_val_mae_hgb,wf_mean_val_mae_rf,wf_mean_val_mae_blend,wf_mean_val_mae_nnet
15,149124,50.1000023,56.0,blend:ridge+rf w=0.70,1.137255878536261,1.027541358679158,0.9507870664897542,1.0721087632901323,4.788767804382138,1.0721087632901323,0.6463260930089261,0.5219822202605195,0.5676270966798148,0.544627807436974,0.5098842886905928,3.061101097946726,0.5098842886905928,blend,False,ridge,rf,0.7000000000000001,0.13174661100484442,0.20095951956666433,0.14667546598433184,0.13222052747023527,4.019111256049265,0.13222052747023527,0.13222052747023527,0.13222052747023527,blend,"{'activation': 'relu', 'solver': 'adam', 'early_stopping': False, 'shuffle': False, 'max_iter': 800, 'tol': 0.0001, 'random_state': 42, 'hidden_layer_sizes': [64, 32], 'alpha': 0.001, 'learning_rate_init': 0.0005}",True,7,0.7751712542858392,0.7407501047472336,0.7351449483313235,0.7211270913218517,4.091553233957774
16,149602,50.0545855,56.0,blend:ridge+rf w=0.70,1.1379615791163888,1.042860391972661,0.9538748846764222,1.0733982466322327,2.1760332906242357,1.0733982466322327,0.6585946882248959,0.5294321366973548,0.5647770662076451,0.5531804947894349,0.5199344043327995,2.476343480732658,0.5199344043327995,blend,False,ridge,rf,0.7000000000000001,0.14566250106102469,0.3370987236516238,0.17419608248253296,0.15061880594361718,7.298567341728134,0.15061880594361718,0.15061880594361718,0.15061880594361718,blend,"{'activation': 'relu', 'solver': 'adam', 'early_stopping': False, 'shuffle': False, 'max_iter': 800, 'tol': 0.0001, 'random_state': 42, 'hidden_layer_sizes': [128, 64], 'alpha': 0.0001, 'learning_rate_init': 0.0005}",True,7,0.788396914965079,0.7265660568978219,0.7323440443648263,0.721396131897042,7.960628159305622
17,149163,1.21499991,2.2259500000000845,blend:hgb+rf w=0.33,0.13178359888946087,0.12392888874865829,0.1113253074937139,0.11497949287700246,0.15658907095604535,0.11497949287700246,0.17865260899881405,0.1453971685812573,0.13958087501622615,0.1383819610702191,0.13811625884857662,0.15628523811107894,0.13811625884857662,blend,False,hgb,rf,0.325,0.16439433155660935,0.15866122637701427,0.15825611386570135,0.15752757239485146,0.21863926379469303,0.15752757239485146,0.15752757239485146,0.15752757239485146,blend,"{'activation': 'relu', 'solver': 'adam', 'early_stopping': False, 'shuffle': False, 'max_iter': 800, 'tol': 0.0001, 'random_state': 42, 'hidden_layer_sizes': [48], 'alpha': 0.0001, 'learning_rate_init': 0.001}",True,7,0.14230529831732,0.14042908375203228,0.14045610837060926,0.13842082968523853,0.20193146917255095
18,149582,1.2151549212000001,2.183832502700002,blend:hgb+rf w=0.38,0.1318966414915859,0.12517131359007316,0.11208641757070377,0.11651654769070165,0.13877593728433862,0.11651654769070165,0.1875728575424279,0.1488051894262194,0.1439704309383126,0.14330930414543241,0.1425723995614554,0.16078278610590585,0.1425723995614554,blend,False,hgb,rf,0.375,0.16536890448887093,0.1577528435485996,0.15900817541644194,0.15754033594062453,0.16976768916542517,0.15754033594062453,0.15754033594062453,0.15754033594062453,blend,"{'activation': 'relu', 'solver': 'adam', 'early_stopping': False, 'shuffle': False, 'max_iter': 800, 'tol': 0.0001, 'random_state': 42, 'hidden_layer_sizes': [48, 24], 'alpha': 0.0001, 'learning_rate_init': 0.002}",True,7,0.14413731878695346,0.14306120081281978,0.1438359648887306,0.14112787446602004,0.19409078549205785
19,149163,3.41465259,9.237698770000172,blend:ridge+rf w=0.08,0.9694439551723729,0.8804151817703927,0.8166721038159366,0.8250257000457029,1.027188409523843,0.8250257000457029,1.202628456279908,0.974579844789965,0.9400325274621657,0.9229647562508297,0.9226991971725018,1.0336309382128825,0.9226991971725018,blend,False,ridge,rf,0.07500000000000001,1.002817693416229,0.9741936074142042,0.9858734995959819,0.9826113654384632,1.1435285479476944,0.9826113654384632,0.9826113654384632,0.9826113654384632,blend,"{'activation': 'relu', 'solver': 'adam', 'early_stopping': False, 'shuffle': False, 'max_iter': 800, 'tol': 0.0001, 'random_state': 42, 'hidden_layer_sizes': [128, 64], 'alpha': 0.0001, 'learning_rate_init': 0.0005}",True,7,0.9703037209697961,0.8978204346330025,0.8951952655587638,0.8895430508936965,1.1882191161390303
20,149774,3.4243880357000003,9.329870080000145,blend:ridge+rf w=0.05,0.9658121416792879,0.8912887888908185,0.8204542724278431,0.8259265794931868,1.0307358178537651,0.8259265794931868,1.2462346596509992,0.9842657692393283,0.9726710402544714,0.9428395850492965,0.9425212053785513,1.0403935052437279,0.9425212053785513,blend,False,ridge,rf,0.05,0.9940059535843891,0.990696889182522,0.9835691422910116,0.9814500959960407,1.105834839115304,0.9814500959960407,0.9814500959960407,0.9814500959960407,blend,"{'activation': 'relu', 'solver': 'adam', 'early_stopping': False, 'shuffle': False, 'max_iter': 800, 'tol': 0.0001, 'random_state': 42, 'hidden_layer_sizes': [64, 32], 'alpha': 0.001, 'learning_rate_init': 0.0005}",True,7,0.9762297841441686,0.9351437748059761,0.9246530023020353,0.9208563927363578,1.120798615462549
75,140850,380.6666666666667,412.0,blend:ridge+rf w=0.18,1.1435178928498673,0.901734306672174,0.6825235987412464,0.7501681030787124,7.63352630543227,0.7501681030787124,1.6386591888038613,1.6158058631947587,1.6460133660112717,1.5425894172004695,1.5374800620958462,8.891537021451951,1.5374800620958462,blend,False,ridge,rf,0.17500000000000002,1.4946298927699069,1.580933716206741,1.482176416844805,1.466809868600542,14.707301742101224,1.466809868600542,1.466809868600542,1.466809868600542,blend,"{'activation': 'relu', 'solver': 'adam', 'early_stopping': False, 'shuffle': False, 'max_iter': 800, 'tol': 0.0001, 'random_state': 42, 'hidden_layer_sizes': [48], 'alpha': 0.0001, 'learning_rate_init': 0.001}",True,7,1.2834968107075595,1.2766781647685643,1.1107930914486617,1.1104806945633994,9.615485206153476
76,140230,382.0,416.0,blend:ridge+rf w=0.00,1.6103593332921768,1.2572876871814518,0.954671492192358,0.954671492192358,7.629647011986285,0.954671492192358,2.449082908314178,2.4969332007698988,2.5168686225516503,2.2929145426818773,2.2929145426818773,11.61359193333158,2.2929145426818773,rf,True,ridge,rf,0.0,2.4192177100841925,2.4696688301250247,2.248268309290803,2.248268309290803,31.300278931312818,2.248268309290803,2.248268309290803,2.248268309290803,blend,"{'activation': 'relu', 'solver': 'adam', 'early_stopping': False, 'shuffle': False, 'max_iter': 800, 'tol': 0.0001, 'random_state': 42, 'hidden_layer_sizes': [64, 32], 'alpha': 0.001, 'learning_rate_init': 0.0005}",True,7,1.809171621303463,1.7658709056490296,1.5904160602182096,1.5886397774216896,21.295549779921497
77,140564,382.0,415.0,blend:ridge+rf w=0.30,1.343407052982246,1.0515028330222167,0.8067424620521862,0.9479563163694076,6.445410867562646,0.9479563163694076,2.0615841979507756,2.095753171205782,2.1947616328724884,2.049298845651397,2.037234070518852,8.94630248687243,2.037234070518852,blend,False,ridge,rf,0.30000000000000004,2.071850328083323,2.2785367710484814,2.1528351955207077,2.1003906419379814,24.243724654381776,2.1003906419379814,2.1003906419379814,2.1003906419379814,blend,"{'activation': 'relu', 'solver': 'adam', 'early_stopping': False, 'shuffle': False, 'max_iter': 800, 'tol': 0.0001, 'random_state': 42, 'hidden_layer_sizes': [48], 'alpha': 0.0001, 'learning_rate_init': 0.001}",True,7,1.506884866318615,1.5180679521821419,1.375123623889282,1.369713264197882,9.592782243868793
71,127048,55.0,78.9,blend:hgb+rf w=0.88,1.2785495175184847,0.9473845480903994,0.7644329050270775,0.922382868647303,2.463730862909442,0.922382868647303,1.1445932351921233,1.4346123471476435,1.2853511626679905,1.3382554173205121,1.2838757987279443,3.421467119626746,1.2838757987279443,blend,False,hgb,rf,0.875,1.5975084174479495,1.3747539666239035,1.5436852200925149,1.3687788113421386,3.70150230126298,1.3687788113421386,1.3687788113421386,1.3687788113421386,blend,"{'activation': 'relu', 'solver': 'adam', 'early_stopping': False, 'shuffle': False, 'max_iter': 800, 'tol': 0.0001, 'random_state': 42, 'hidden_layer_sizes': [128, 64], 'alpha': 0.0001, 'learning_rate_init': 0.0005}",True,7,1.3301359111154112,1.1141340897671077,1.1386494088424057,1.1031681238465012,3.819504985475509
