col,winner,sv_winner,wf_disagrees_sv,winner_label,blend_a,blend_b,blend_w_on_a,val_mae_ridge,val_mae_hgb,val_mae_rf,val_mae_blend,val_mae_nnet,val_mae_winner,test_mae_nnet,test_mae_winner,test_mae_at_sv_winner,test_mae_at_wf_winner
15,blend,blend,False,blend:ridge+rf w=0.70,ridge,rf,0.7000000000000001,0.5219822202605195,0.5676270966798148,0.544627807436974,0.5098842886905928,3.061101097946726,0.5098842886905928,4.019111256049265,0.13222052747023527,0.13222052747023527,0.13222052747023527
16,blend,blend,False,blend:ridge+rf w=0.70,ridge,rf,0.7000000000000001,0.5294321366973548,0.5647770662076451,0.5531804947894349,0.5199344043327995,2.476343480732658,0.5199344043327995,7.298567341728134,0.15061880594361718,0.15061880594361718,0.15061880594361718
17,blend,blend,False,blend:hgb+rf w=0.33,hgb,rf,0.325,0.1453971685812573,0.13958087501622615,0.1383819610702191,0.13811625884857662,0.15628523811107894,0.13811625884857662,0.21863926379469303,0.15752757239485146,0.15752757239485146,0.15752757239485146
18,blend,blend,False,blend:hgb+rf w=0.38,hgb,rf,0.375,0.1488051894262194,0.1439704309383126,0.14330930414543241,0.1425723995614554,0.16078278610590585,0.1425723995614554,0.16976768916542517,0.15754033594062453,0.15754033594062453,0.15754033594062453
19,blend,blend,False,blend:ridge+rf w=0.08,ridge,rf,0.07500000000000001,0.974579844789965,0.9400325274621657,0.9229647562508297,0.9226991971725018,1.0336309382128825,0.9226991971725018,1.1435285479476944,0.9826113654384632,0.9826113654384632,0.9826113654384632
20,blend,blend,False,blend:ridge+rf w=0.05,ridge,rf,0.05,0.9842657692393283,0.9726710402544714,0.9428395850492965,0.9425212053785513,1.0403935052437279,0.9425212053785513,1.105834839115304,0.9814500959960407,0.9814500959960407,0.9814500959960407
75,blend,blend,False,blend:ridge+rf w=0.18,ridge,rf,0.17500000000000002,1.6158058631947587,1.6460133660112717,1.5425894172004695,1.5374800620958462,8.891537021451951,1.5374800620958462,14.707301742101224,1.466809868600542,1.466809868600542,1.466809868600542
76,blend,rf,True,blend:ridge+rf w=0.00,ridge,rf,0.0,2.4969332007698988,2.5168686225516503,2.2929145426818773,2.2929145426818773,11.61359193333158,2.2929145426818773,31.300278931312818,2.248268309290803,2.248268309290803,2.248268309290803
77,blend,blend,False,blend:ridge+rf w=0.30,ridge,rf,0.30000000000000004,2.095753171205782,2.1947616328724884,2.049298845651397,2.037234070518852,8.94630248687243,2.037234070518852,24.243724654381776,2.1003906419379814,2.1003906419379814,2.1003906419379814
71,blend,blend,False,blend:hgb+rf w=0.88,hgb,rf,0.875,1.4346123471476435,1.2853511626679905,1.3382554173205121,1.2838757987279443,3.421467119626746,1.2838757987279443,3.70150230126298,1.3687788113421386,1.3687788113421386,1.3687788113421386
